# Name,redshift,ra,dec,OBJ_TYPE
PSO~J239.7124--07.4026,6.1102,239.7124609,-7.402664131,HIGH_Z_QUASAR
DELS~1559+2212,6.07,239.7878832,22.20400868,HIGH_Z_QUASAR
SDSS~J1602+4228,6.079,240.72491,42.473583,HIGH_Z_QUASAR
ELAIS1091000446,6.04,240.9544583,55.17563889,HIGH_Z_QUASAR
ULAS~J1609+3041,6.16,242.40532,30.696591,HIGH_Z_QUASAR
PSO~J242.4397--12.9816,5.83,242.43971,-12.98169708,HIGH_Z_QUASAR
J1609+5328,6.92,242.4709583,53.4725,HIGH_Z_QUASAR
J1612+5559,6.78,243.0296667,55.98866667,HIGH_Z_QUASAR
J161435.36+011444.79,5.78,243.6473171,1.245776819,HIGH_Z_QUASAR
J1618+5526,5.91,244.582375,55.44833333,HIGH_Z_QUASAR
PSO~J245.0636--00.1978,5.68,245.0636766,-0.19786005,HIGH_Z_QUASAR
SDSS~J1621+5155,5.71,245.25383,51.93022,HIGH_Z_QUASAR
SDSS~J1623+3112,6.2605,245.88254,31.200138,HIGH_Z_QUASAR
PSO~J247.2970+24.1277,6.476,247.2970812,24.12770591,HIGH_Z_QUASAR
SDSS~J1630+4012,6.063,247.64125,40.202666,HIGH_Z_QUASAR
